ABUSE,"To treat someone or something in a way that is cruel, harmful, or wrong"
ACCIDENT,"Sudden unplanned event causing damage, injury, etc."
HABIT,The usual way of behaving; something often repeated
ACTIVITY,"An action or task (e.g., sports, washing your clothes)"
ADD,"To put two things or numbers together (e.g., 2+2)"
ADJUST,To change so as to fit in with new conditions
ADMINISTRATION,"The work of running something (e.g., a business)"
ADVOCATE,"To publicly support a belief, or to request a change"
ANALYST,Someone who is skilled at studying the details of data
ARRIVAL,When someone or something gets to a place
HIGHLIGHT,The best or most interesting part of something
BUTTON,Small round piece of material used to fasten clothing
APPEARANCE,Way that someone or something looks
APPLICATION,"Formal request for a job, building permission, etc."
APPLY,"To ask formally for (a job, building permission, etc.)"
AS,A word used to compare two equal things
ARGUMENT,A discussion in which you disagree with another's opinion
ARRANGE,To put things into a particular order; to plan and organize an event
ARRANGEMENT,Plan or preparation to make something happen; an agreement
HUNT,To search for wild animals to kill for food or sport
ART,"A creative skill using the imagination (e.g., painting)"
CHARACTERIZE,"To describe the qualities of a person, place, thing"
ASSESSMENT,Opinion based on judging the qualities of something or someone
ASSET,A person or thing that has value or use to someone or to a company
BACK,Behind; to the rear; previous 
ASSOCIATE,"Partner in professional work (e.g., in law)"
ATMOSPHERE,The mixture of gases surrounding the earth; the feeling that a place or situation gives you
ATTITUDE,"Way you act, think, and feel about something"
ILLUSTRATE,"To explain with examples, to make it easier to understand"
AUDIENCE,"Group of people listening, watch a play, movie, etc."
AUTHOR,"Person who writes books, plays, poems, etc."
IMPOSE,"To make someone to do, believe, or accept something "
BAND,"Group of people who work together (e.g., play music)"
BAR,"To prevent entry, exit, or an action"
BASICALLY,In the most important ways even if not completely true
BEDROOM,Room for sleeping usually with a bed
BELIEF,A feeling of being sure that something exists or is true
BIND,To join two or more things together to limit their freedom
BIRTH,When a baby comes out of the body of its mother
BOMB,A weapon designed to break apart very suddenly and violently
BOND,"Something that joins or connects people, groups, or parts; a duty or promise to another; glue"
BORDER,Line separating one country or state from another
COMPETITOR,"Someone taking part in a race, business, etc."
INCIDENT,"Something that happens, especially if it is bad or unusual"
INTELLIGENCE,"Ability to learn, think about, and understand things"
BRANCH,A part of a tree that grows out from the main part; a part of an organization connected to but separate from the main office
BRAND,Name given to a product or service
BUILD,"To make (e.g., a house, by putting materials together)"
BUSINESS,"The making, buying, or selling goods or services for money"
BRIDGE,"Structure built over river or road so people, vehicles, or animals can cross"
COVERAGE,"Way a newspaper, television program, etc., reports an event or subject"
CREW,"An organized group of workers (e.g., on a ship)"
KICK,To hit someone or something using your foot
KISS,To put your lips against another's to show love
DEPENDENT,Someone who depends on another for (financial) support
CAMPAIGN,To work in an organized and active way toward a goal
LATTER,The second or last mentioned thing
LOCK,To close something with a device so others can't open it
CENT,"100th of the basic unit of money (e.g., there are 100 of these in a dollar)"
CERTAINLY,Definitely true or is sure to happen
CHAIN,"Series of connected  things, events, or people"
CHANNEL,"1. a narrow, deep body of water used by ships; 2. a system used for sending something from one place or person to another"
CHARACTERISTIC,A typical feature or quality that a particular person or thing has
MILK,The white liquid produced by females to feed their babies
COLOR,"The quality of things you can see (e.g., red, blue)"
ORIGIN,The point at which something begins or is created
CHURCH,Building where religious people gather and pray
DRAG,To pull something that is difficult to move
CIVIL,Related to the people of a country; not military/criminal
PROPORTION,An amount that is a part of a whole thing
REJECT,"To refuse to believe, accept, or consider"
CLOTHES,"Things you wear on your body (e.g., shirt, dress, tie)"
COURSE,"Route or direction that a river, etc., moves along"
COLLEAGUE,Someone who works with you; coworker
FORMULA,"Plan, rule, or method for doing or making something"
COMBINATION,Result of mixing things together
FOUNDATION,Underground base on which a building is constructed
LIP,Top and bottom part of the outside of a person's mouth
COMMENT,Something you say; give an opinion; remark
COMMISSION,A group officially put in charge of finding out about something or controlling something
COMMITMENT,A promise or decision to do something; something that you must do that takes your time
RELIEF,The pleasant and relaxed feeling when something unpleasant stops or does not happen
COMPLAIN,To say that you are not happy or satisfied with something or someone
COMPONENT,One of the parts that make up something
CONCENTRATE,To give all your attention to a task; focus
CONDITION,"State of living you are in (e.g., good health)"
MARGIN,"The empty space at the top, bottom, and sides of a written or printed page"
CONTENT,"Information in something (e.g., a book or computer program)"
CONTRACT,"Legal agreement (e.g., for doing work for money)"
CONTRIBUTE,Give something of value to or help someone or something
PACE,The speed at which someone or something moves or happens
CORNER,"Place where two lines, sides, corners, etc., meet"
REPUTATION,An opinion that people have about someone or something based on the past
SHOULDER,The part of the body where an arm attaches or joins
PERCEPTION,The way in which one sees or understands something
SIMILARLY,In a way that is almost the same as something or someone else
CRIME,"Act that is against the law; murder, theft, etc."
SUPPORTER,Someone who shows they are in favor of an idea/plan
SYMBOL,Action or object that represents a particular idea or quality
CULTURAL,Of a particular society's customs and beliefs
SKY,The place where we see clouds above us
CREAM,The thick white liquid that comes from milk and is used in cooking
EVOLUTION,"Slow, steady change or development"
EXAMPLE,Something or someone who represents a group
DECREASE,"To reduce the size, amount, or number of something"
EXHAUST,"To use all of something such as energy, resources, or possibilities; to make someone very, very tired"
SOUL,The spiritual part of a person
DELAY,To cause something to happen later than planned or expected
SPECIFICALLY,In a well-defined or clear manner; in particular
DEMONSTRATE,"To show how something works (e.g., product)"
EXTRACT,To take something out of something else
TALENT,The natural ability of a person to do something well
DESIRE,"To wish for, hope, or want something"
DESTROY,To damage something so badly that it no longer exists
DIRECTION,"Describes the way you are going (e.g., north)"
DISTINCTION,The special quality that makes something different
DIVISION,Act of separating something into parts; groups formed by different functions or opinions
DOCTOR,A professional who is trained and licensed to treat sick or injured people; a person who has the highest degree given by a university
DOMESTIC,Of or relating to a particular country; of or relating to the home and family
IRON,The hard metal used to make steel (symbol fe)
ECONOMY,"Total of all the goods, services, and wages in an area"
EDITOR,A person whose job is to correct and make changes to the contents of a book or magazine
ELECT,Choose someone for a position usually by voting
KNEE,The middle part of your leg that bends
STEM,"The long, thin part of a plant that supports leaves and flowers"
ENGINEER,"Professional who designs and builds machines, roads, and other complicated structures"
ENTIRELY,Fully or completely
WAGE,Money paid to workers for the hours they worked
WHEEL,The round thing under a vehicle that turns and makes it move
ESCAPE,To get away from a place where you are being held
WINNER,The person or animal that is the best in a contest or first in a race
ESTIMATE,"Guess or calculation of cost, size, or value"
APPOINTMENT,The time you arranged to meet someone or do something
HERE,"In, at, or to this position or place"
EXAMINE,To look at someone or something very carefully in order to learn more
BREAKFAST,The first meal of the day
EXCITE,"To make someone feel happy, interested, or eager"
HOWEVER,Used to say something is different from what was said before; but
BREAST,One of the two parts on the front of a woman's body that produce milk when she has a baby
CAPTURE,To catch and prevent a person/animal from being free
CELEBRATE,"To observe an event or occasion (e.g., a birthday)"
EXPENSE,The amount of money that is needed to pay for something
EXPLORE,To learn about something by examining in detail or someplace by traveling to it
EXTEND,"To straighten or stretch something out (e.g., your leg)"
CHILDHOOD,The time when you are a child
FAIRLY,In a reasonable way; between a little and very much
FARMER,"Someone who owns or looks after farm, a place for growing crops and keeping animals"
FEAR,Unpleasant feelings caused by being aware of danger
FEED,"To give food (e.g., to an animal or a baby)"
CLOSELY,Very near in space or time; just next to
FILE,"To submit documents to an authority (e.g., city hall)"
ANGLE,A place where two lines or surfaces meet
FLOWER,"Plant with a pretty head (e.g., a rose)"
ATTRIBUTE,"A quality or characteristic that someone or something has (e.g., size or color)"
COMMAND,To give an order; have control over others
CONSISTENT,Always acting or happening in the same way
CORE,The central part of a fruit that contains the seeds; the central part of something
FRAME,"(n) 1. the basic structure of something that gives it its shape, to which other parts are added; 2. one picture in a series that make a video; (v) 1. to put a picture in a supporting structure; 2. to produce false evidence so an innocent person appears guilty of a crime"
BOWL,A round container used for holding things like rice or soup
CROP,"Plants grown on a farm for food (e.g., corn or rice)"
GAIN,"To get something wanted, needed, or valued"
DEBT,The sum of money owed to somebody that is not yet paid
GENERALLY,"Usually; as a rule; by, to, or for most people"
LAST,The one before
EXHIBITION,An event at which an object or group of objects is shown to the public
GRADUATE,(v) to receive a degree from a college or university; (n) a person who has received a degree
LEAVE,To go away from; depart
LIABILITY,"Something that is owed to someone else (e.g., a debt)"
GUN,A weapon that shoots small metal objects down a metal tube
LIFE,"All the living things (e.g., animals, plants, humans)"
HALL,"A usually long, narrow room in a building  that leads to other rooms"
HANG,"To attach a picture, photograph, etc., onto a wall"
LINE,"Mark that is long, straight, and very thin"
CAKE,"A sweet baked food made from flour, eggs, fat, and sugar"
HIRE,To employ a person to do a particular job
HISTORICAL,Of or related to events or people in the past
HOST,Person who entertains guests
HOTEL,Place where people can stay when traveling
FELLOW,Someone in the same group or situation; a boy or man
MANY,Used to refer to a large number of things
CURRENCY,A money system that a country uses
HURT,"To cause pain, damage, or injury"
ICE,Frozen water
GENE,Part of a cell that controls the development and appearance of a living thing
IDENTITY,Who someone is; the collection of qualities that makes a person
CURVE,A smooth rounded line that is not straight
IMAGE,"Picture, sculpture, or painting of something"
IMAGINE,To think creatively about; form a mental picture of
MODIFY,To make small changes to something
MONTH,"One of 12 time periods that make a year, each from 28 to 31 days long"
INCOME,"Earned money from work, investments, or business"
INDICATE,"To show something, direct attention to, or point out"
INDUSTRIAL,Concerning the people and businesses that make certain products
GUARD,"To keep watch over something to protect it e.g., a bank"
INSIST,To state your opinion strongly and firmly; to demand that something must happen
INSTRUMENT,A piece of equipment used for a particular purpose such as making music or measuring something
DEPRESSION,A feeling of great sadness
OFF,Away from; not on
INVESTOR,A person who gives money to help a business grow for a profit
ON,"Located on the surface of something (e.g., a table or wall)"
ENTRANCE,A way into a place
ORDER,"To ask for something you want to buy (e.g., a meal)"
ACCOMMODATION,"A place to stay, often a hotel"
FLOOD,A large amount of water covering land that is usually dry
ASSISTANT,"A person who helps another, usually as a job"
PARTY,"Social event often with food, drinks, and dancing"
LABEL,A piece of paper or cloth that is attached to something and gives information about it
LADY,Another way of saying 'woman'
BOSS,"A person who manages you, or is in charge of you at work"
PAST,"The time that existed before now (e.g., long ago)"
FORECAST,"A prediction of some future thing (e.g., the weather)"
JACKET,"A light, thin coat"
LAWYER,A professional who is paid to help people with the law
PLAN,To decide a set of actions to do something
LESSON,A time or event where teaching and learning occur; class
BOTTLE,A container with a narrow neck used to hold liquids like water or wine
LICENSE,Official document which allows a person to do or have something
CHEMICAL,A basic substance produced by mixing elements
DELIGHT,A strong feeling of great pleasure and happiness
ENGINE,A machine that changes energy into motion
LOAN,Something (usually money) that is given to someone for a period of time with a promise that it will be returned
LOCATE,"To find a certain place, position, or location of something"
EXPECTATION,A belief or hope that something is going to happen
GENTLEMAN,A man who has good manners and is considerate
JOURNALIST,"A person who writes news reports for newspapers, magazines, television, or radio"
LAKE,A large area of water surrounded by land
ROOM,"A part of building enclosed by walls (e.g., kitchen)"
MASS,"A large amount of something, often of no particular shape"
MASTER,1. someone who has control over others; 2. someone who is very skilled at doing something
MEAL,"Food for eating at a particular time (e.g., dinner)"
LANDSCAPE,A large area of countryside or land that has a particular quality or appearance
SET,"Complete group of something (e.g., a chess set)"
MISS,"To be too late to ride on something (e.g., train or bus)"
MISTAKE,"Something done wrong, calculated wrong.; error"
MODEL,A copy that represents an object or standard
MIRROR,A thing with a glass surface used to look at yourself
MOUSE,A small animal that has fur and a long tail
MORAL,Relating to people's belief about right or wrong behavior
MORNING,Early part of the day before 12 noon
